﻿Photos,Files,,Job Code,Project,Ele. #,Ele. Name,,Task,Dept.,,Check In,Completed,,Notes
,,,18-104,Ft. McDowell,-23,Long and Short Lightbox Column,,Make sure material approvals come through,PM,,,Checked,,Overrode I asked Tanner multiple times to review but they were pretty swamped and we needed to get them ordered
,,,19-248,Kyle Mock,-4,Log,,Get camera or camera specs,PM,,,Checked,,Email sent to Kyle Gary and Patrick on 10/15/19
,,,18-104,Ft. McDowell,-23,Long and Short Lightbox Column,,Give Kiera a copy of the production drawings,PM,,,Checked,,
,,,18-104,Ft. McDowell,-13,Bar Light Boxes,,Get polycarbonate from Souers,Vendor,,12/11/2019,,,
,,,19-248,Kyle Mock,-2,,,Send follow up email with reference images,PM,,,Checked,,As soon as Allan is done with the one-sheet
,,,18-104,Ft. McDowell,-20,Decorative Center Column,,Issue Production Drawings,PM,,12/3/2019,Checked,,
,,,18-104,Ft. McDowell,-9,Specialty Restaurant Facade,,Assemble Fins,Fab,,,,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Write up plan to use a parachute with kids as the unveiling,PM,,11/1/2019,Checked,,Sent an email to Kyle on 10/30/19
,,,18-104,Ft. McDowell,-9,Specialty Restaurant Facade,,Ship Facade,Shipping,,,,,Truck # 2
,,,18-104,Ft. McDowell,-15,Column Lightbox Panels,,Get the status of the Lumicor sample,PM,,,Checked,,
,,,18-104,Ft. McDowell,-13,Bar Light Boxes,,Order brake-formed pans,PM,,,Checked,,Tanner needs to check Supervisor Confirmed
,,,18-104,Ft. McDowell,-20,Decorative Center Column,,Material Takeoffs,PM,,12/5/2019,Checked,,
,,,18-104,Ft. McDowell,-4,Buffet Fins,,Fabricate groups for screen wall,Fab,,,,,
,,,18-104,Ft. McDowell,-23,Long and Short Lightbox Column,,Cut files for PVC,PM,,12/6/2019,,,
,,,18-104,Ft. McDowell,-3,Light Box Wall,,Ship Light Box Wall,Shipping,,,,,Truck #2
,,,18-104,Ft. McDowell,-15,Column Lightbox Panels,,Assemble lumicor into frames,Fab,,,,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Cut hole for viewport when putting rocket back together,Sculpt,,12/2/2019,Checked,,
,,,18-222,Desert Diamond,-3,Wall Panels,,Check in With Jan,PM,,12/2/2019,Checked,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Make sure all tasks are in Smartsheet,PM,,,Checked,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Order cut files for rocket ship,PM,,,Checked,,Get Phillip to change the cut files to stainless
,,,19-248,Kyle Mock,-7,Stump (Pine),,Get camera or camera specs,PM,,,Checked,,Email sent to Kyle Gary and Patrick on 10/15/19
,,,18-104,Ft. McDowell,-9,Specialty Restaurant Facade,,Assemble Facade,Fab,,,,,
,,,18-104,Ft. McDowell,-21,Garden Court Torchiers,,Torchier #1 - Install Basket Weave,Fab,,,,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Update and resubmit drawings,PM,,,Checked,,
,,,18-104,Ft. McDowell,-21,Garden Court Torchiers,,Torchier #1 - Ship,Shipping,,,,,
,,,18-104,Ft. McDowell,-25,Rivet Straps,,Get photos of finished straps,PM,,12/2/2019,Checked,,
,,,18-104,Ft. McDowell,-4,Buffet Fins,,Order solid surface,PM,,,,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Attach smoke panels to armature,Metal,,12/2/2019,Checked,,
,,,18-104,Ft. McDowell,-5,Glazed Feather Wall,,Package Feather Wall,Shipping,,,,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Call Maureen and follow up with Mary. Confirm paperwork was acceptable,PM,,12/5/2019,Checked,,I sent everything she requested via email on 12/04/19 @ 9:50a
,,,18-104,Ft. McDowell,-22,Back Bar Diffusers,,Ship Back Bar Diffusers,Shipping,,,,,Truck # 2
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Pat is coming over for a visit on Thursday,PM,,10/31/2019,Checked,,
,,,18-222,Desert Diamond,-3,Panels,,Send Jan rough pricing,PM,,,Checked,,
,,,19-248,Kyle Mock,-6,Stump (Oak),,Shop drawings,Design,,,,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Apply vinyl to smoke panels,Fab,,12/2/2019,Checked,,
,,,18-104,Ft. McDowell,-24,Ceiling Beam Diffusers,,Assemble polycarbonate into angle frames,Fab,,,,,
,,,18-104,Ft. McDowell,-21,Garden Court Torchiers,,Torchier #2 - Paint Basket Weave,Paint,,,,,
,,,18-104,Ft. McDowell,-22,Back Bar Light Box,,Check in on materials,PM,,,Checked,,Materials are going to be sent to RMH instead. Silly Atomic.
,,,18-104,Ft. McDowell,-21,Garden Court Torchiers,,Torchier #2 - Package,Shipping,,,,,
